Date,Week,Matchup,Pick,Confidence,Edge,Rating,Note,Conf,Wager,Book
2025-11-27 16:36,Week 13,DAL @ KC,DAL,63.3%,+11.0%,DIAMOND,Diff: 0.0 vs 0.0,,,
2025-11-27 16:36,Week 13,DAL @ KC,DAL,63.3%,+11.0%,DIAMOND,Diff: 0.0 vs 0.0,,,
2025-11-27 16:36,Week 13,BAL @ CIN,BAL,63.3%,+11.0%,DIAMOND,Diff: 0.0 vs 0.0,,,
2025-11-27 17:08,Week 13,BAL @ CIN,BAL,63.3%,+11.0%,DIAMOND,Diff: 0.0 vs 0.0,,,
2025-11-27 17:08,Week 13,BAL @ CIN,BAL,63.3%,+11.0%,DIAMOND,Diff: 0.0 vs 0.0,,,
2025-11-27 17:10,Week 13,BAL @ CIN,BAL,63.3%,-15.4%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-27 17:31,Week 13,BAL @ CIN,BAL,61.9%,-16.8%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-27 17:32,Week 13,BAL @ CIN,BAL,61.9%,-10.3%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-27 17:34,Week 13,BAL @ CIN,BAL,61.9%,-9.5%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-27 18:04,Week 13,BAL @ CIN,BAL,61.9%,-17.3%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-27 18:05,Week 13,DAL @ KC,DAL,61.9%,+14.3%,DIAMOND,Diff: 0.0 vs 0.0,,,
2025-11-28 07:32,Week 1,PHI @ CHI,PHI,61.9%,-15.4%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:33,Week 1,PHI @ CHI,PHI,61.9%,-15.9%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:34,Week 13,PHI @ CHI,PHI,61.9%,-15.9%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:36,Week 13,TB @ ARI,TB,61.9%,+1.9%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:36,Week 13,IND @ HOU,IND,61.9%,-3.6%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:37,Week 13,NYJ @ ATL,NYJ,61.9%,-3.6%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:37,Week 13,NYJ @ ATL,NYJ,61.9%,+16.5%,DIAMOND,Diff: 0.0 vs 0.0,,,
2025-11-28 07:38,Week 13,MIA @ NO,MIA,61.9%,+16.5%,DIAMOND,Diff: 0.0 vs 0.0,,,
2025-11-28 07:38,Week 13,MIA @ NO,MIA,61.9%,-10.3%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:39,Week 13,TEN @ JAX,TEN,61.9%,-7.3%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:40,Week 13,CAR @ LA,CAR,57.4%,+39.2%,DIAMOND,Diff: 0.0 vs -11.0,,,
2025-11-28 07:41,Week 13,CAR @ LA,CAR,57.4%,+39.2%,DIAMOND,Diff: 0.0 vs -11.0,,,
2025-11-28 07:42,Week 13,CLE @ SF,SF,66.7%,+33.4%,DIAMOND,Diff: 11.0 vs 0.0,,,
2025-11-28 07:43,Week 13,SEA @ MIN,SEA,61.9%,-27.6%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:44,Week 13,LAC @ LV,LAC,61.9%,-22.7%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:45,Week 13,ARI @ TB,ARI,61.9%,+1.9%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:45,Week 13,HOU @ IND,HOU,61.9%,-3.6%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:47,Week 13,ATL @ NYJ,ATL,61.9%,+16.5%,DIAMOND,Diff: 0.0 vs 0.0,,,
2025-11-28 07:47,Week 13,NO @ MIA,NO,61.9%,-10.3%,SILVER,Diff: 0.0 vs 0.0,,,
2025-11-28 07:48,Week 13,JAX @ TEN,JAX,61.9%,-7.3%,SILVER,Diff: 0.0 vs 0.0,,,
